V1_gene	Module	Mapped_v3	MapMan_v3	Mapped_v5	MapMan_v5	GO_v5
VIT_07s0031g02630	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_13s0067g01070	M7	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_00s0125g00070	M8	FALSE	FALSE	FALSE	FALSE	FALSE
VIT_01s0010g01260	M8	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_04s0008g01210	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_19s0085g00880	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_06s0009g02020	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_00s0533g00050	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_07s0031g00540	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_17s0000g09190	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_13s0067g01980	M4	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_06s0004g05330	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_06s0004g04640	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_14s0060g00900	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_06s0004g01510	M4	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_18s0001g15410	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_18s0001g08090	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_07s0005g04600	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_02s0012g00040	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_14s0030g02180	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_12s0057g00060	M3	FALSE	FALSE	TRUE	FALSE	FALSE
VIT_19s0014g03190	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_16s0050g02240	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_12s0028g01080	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_12s0057g00190	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_02s0012g00500	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_00s0207g00210	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_04s0044g00020	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_17s0000g00830	M4	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_04s0008g06000	M6	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_19s0015g02880	M3	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_13s0101g00220	M8	FALSE	FALSE	FALSE	FALSE	FALSE
VIT_11s0016g02760	M7	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_14s0060g01490	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_07s0141g00570	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_07s0005g00170	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_12s0057g00630	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_15s0046g03570	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_11s0016g05770	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_02s0025g01080	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_07s0205g00070	M3	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_03s0038g01380	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_18s0001g01490	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_17s0000g07850	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_08s0007g08010	M10	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_14s0068g01870	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_18s0001g11930	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_09s0002g04280	M1	TRUE	TRUE	FALSE	FALSE	FALSE
