SampleName	GSM	Cultivar	Stage	Year	Replicate	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
"GSM2627785"	"GSM2627785"	"Cabernet Sauvignon"	"FruitSet"	"2014"	2	-51.2693721567469	24.0529495631964	-4.2311897034806	-25.5461179643894	3.74099677296041	-14.4178853796284	-2.05303138930723	0.689957270491196	4.56839742345101	1.95572044731075
"GSM2627786"	"GSM2627786"	"Cabernet Sauvignon"	"FruitSet"	"2014"	3	-49.7916814414995	19.7453131061933	-6.32264718774549	-23.04057802525	1.89439253293959	-16.1252036758205	-3.36751004279637	5.46094966788615	5.07377237693072	2.747456152132
"GSM2627793"	"GSM2627793"	"Cabernet Sauvignon"	"Veraison"	"2014"	1	-31.3410277827268	-33.905008279229	17.1070632761692	4.53324961641776	16.1997635144801	-5.52680339293274	-0.950913969202089	-5.54682657768182	-0.288808680546978	-3.80010553064648
"GSM2627794"	"GSM2627794"	"Cabernet Sauvignon"	"Veraison"	"2014"	2	-22.6926045896252	-35.6860703685732	20.8349287198119	-3.11314066175413	18.1263957686038	11.8270764174426	-11.4537832636137	-0.552422637623301	3.62800962575355	-1.7763668522024
"GSM2627795"	"GSM2627795"	"Cabernet Sauvignon"	"Veraison"	"2014"	3	-24.694183065649	-33.7769936332257	15.1326978091555	-4.23249408704822	23.5310405451449	20.5085081070612	-14.6949197192963	-0.0955411125766021	10.9474834615063	-6.5104496475713
"GSM2627820"	"GSM2627820"	"Cabernet Sauvignon"	"Harvest"	"2014"	1	62.153889252188	-27.6111889065242	-5.2872072031794	-12.3526121900537	-11.773664778018	3.43416408750219	-3.71915887547233	6.09187034815744	6.40680687771881	-0.378487670000709
"GSM2627821"	"GSM2627821"	"Cabernet Sauvignon"	"Harvest"	"2014"	2	62.9547234475935	-27.5868406585716	-2.94147436105238	-10.6803819720912	-12.7793793804239	-1.83766270901298	-0.094036718329467	4.18564526696663	1.71869935522613	-1.27355502248505
"GSM2627822"	"GSM2627822"	"Cabernet Sauvignon"	"Harvest"	"2014"	3	67.0141774384751	-27.3781204168329	-5.93230712632441	-17.4857110470836	-7.94974296477461	5.33703570927069	-2.10733296682726	2.08948874575626	7.2407064449365	0.365486628974427
"GSM2627823"	"GSM2627823"	"Pinot noir"	"FruitSet"	"2012"	1	-55.2982252280883	19.3663404625522	-35.2189935838999	15.4779922360754	-20.9895603742678	7.43556218274642	-8.82541556415233	-13.2107003732597	-7.86573254121622	-4.26197707606903
"GSM2627824"	"GSM2627824"	"Pinot noir"	"FruitSet"	"2012"	2	-58.9689045501257	16.3156552463957	-27.4378703465547	13.5961553514359	-23.0092344576278	2.59154105718105	-6.32312496830302	-8.35131591966122	-2.96146427417512	-14.191090105548
"GSM2627825"	"GSM2627825"	"Pinot noir"	"FruitSet"	"2012"	3	-56.1164394824071	17.9513668350885	-33.9021659830613	12.3180826474467	-26.5648978717114	6.57342929592895	-13.5834581348789	-7.61380807437452	-9.48855076815085	3.00008593480901
"GSM2627835"	"GSM2627835"	"Pinot noir"	"Veraison"	"2012"	1	-7.40750286052314	24.5002056651364	30.8253794081703	9.08257814154187	-15.8521376595517	6.24919924008127	6.33033415023247	0.0235289595004435	3.77840159551419	1.95943503310383
