Gene	Module	Rank_kWithin	Top_decile_kWithin	V5_gene	Family_conflict	Mapped_for_T008	Pearson_54	Spearman_54
"VIT_12s0059g00310"	"M5"	94	FALSE	"Vitvi05_01chr12g05920"	FALSE	TRUE	0.870154903606016	0.91420398668674
"VIT_12s0059g00370"	"M5"	102	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_12s0059g00490"	"M10"	21	FALSE	"Vitvi05_01chr12g06140"	FALSE	TRUE	0.998305132656549	0.997484276729559
"VIT_12s0059g01720"	"M5"	68	FALSE	"Vitvi05_01chr12g07730"	FALSE	TRUE	0.978402469163985	0.987933448268471
"VIT_12s0142g00160"	"M10"	23	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_13s0019g00110"	"M2"	35	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_13s0019g00420"	"M2"	73	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_13s0019g00480"	"M5"	69	FALSE	"Vitvi05_01chr13g03890"	FALSE	TRUE	0.977623427122517	0.987268915570802
"VIT_13s0019g00860"	"M2"	197	FALSE	"Vitvi05_01chr13g04160"	FALSE	TRUE	0.99302335311315	0.985744234800838
"VIT_13s0019g02180"	"M10"	33	FALSE	"Vitvi05_01chr13g05320"	FALSE	TRUE	0.996641345226675	0.987726319801791
"VIT_13s0019g02190"	"M2"	195	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_13s0019g02660"	"M2"	172	FALSE	"Vitvi05_01chr13g05860"	FALSE	TRUE	0.987813191739094	0.97598627787307
"VIT_13s0019g02910"	"M2"	93	FALSE	"Vitvi05_01chr13g06200"	FALSE	TRUE	0.946242319708734	0.930550790928149
"VIT_13s0019g05070"	"M5"	18	FALSE	"Vitvi05_01chr13g09270"	FALSE	TRUE	0.966009739026147	0.990242043072232
"VIT_13s0047g01030"	"M2"	78	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_13s0047g01040"	"M2"	65	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_13s0064g00350"	"M2"	101	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_13s0064g00830"	"M2"	123	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_13s0067g00560"	"M2"	122	FALSE	"Vitvi05_01chr13g19030"	FALSE	TRUE	0.963220794237094	0.930415975114036
"VIT_13s0067g00700"	"M10"	22	FALSE	"Vitvi05_01chr13g00430"	FALSE	TRUE	0.996537832031659	0.996417000190585
"VIT_13s0067g01090"	"M2"	187	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_13s0067g02040"	"M2"	6	TRUE	"Vitvi05_01chr13g18170"	FALSE	TRUE	0.964135070477491	0.916083782971464
"VIT_13s0067g02410"	"M2"	169	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_13s0106g00250"	"M2"	186	FALSE	"Vitvi05_01chr13g12020"	FALSE	TRUE	0.979041106816706	0.995807127882599
"VIT_13s0139g00200"	"M2"	173	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_13s0147g00110"	"M2"	133	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_13s0158g00270"	"M2"	75	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_13s0158g00290"	"M2"	126	FALSE	"Vitvi05_01chr13g24530"	FALSE	TRUE	0.90912735394424	0.988025320836028
"VIT_14s0006g00070"	"M2"	7	TRUE	NA	FALSE	FALSE	NA	NA
"VIT_14s0006g00180"	"M2"	194	FALSE	"Vitvi05_01chr14g12410"	FALSE	TRUE	0.987853940060234	0.982389937106918
"VIT_14s0006g01040"	"M2"	91	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_14s0006g02550"	"M2"	159	FALSE	"Vitvi05_01chr14g16910"	FALSE	TRUE	0.975334030685765	0.979629809989908
"VIT_14s0006g03050"	"M5"	40	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_14s0030g00140"	"M2"	147	FALSE	"Vitvi05_01chr14g05030"	FALSE	TRUE	0.924171787120986	0.976347739221504
"VIT_14s0030g00340"	"M5"	97	FALSE	"Vitvi05_01chr14g05360"	FALSE	TRUE	0.995566885473493	0.993977510958643
"VIT_14s0030g00520"	"M2"	49	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_14s0030g00860"	"M2"	181	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_14s0030g00930"	"M2"	50	FALSE	"Vitvi05_01chr14g06140"	FALSE	TRUE	0.906244201288804	0.923274892295079
"VIT_14s0030g01150"	"M2"	177	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_14s0030g01300"	"M2"	121	FALSE	"Vitvi05_01chr14g06730"	FALSE	TRUE	0.974897056349746	0.968512944529382
"VIT_14s0030g01890"	"M5"	54	FALSE	"Vitvi05_01chr14g07720"	FALSE	TRUE	0.98735166724864	0.990242043072232
"VIT_14s0030g02020"	"M2"	128	FALSE	"Vitvi05_01chr14g07890"	FALSE	TRUE	0.984014206484836	0.950371640937679
"VIT_14s0030g02310"	"M10"	39	FALSE	NA	FALSE	FALSE	NA	NA
