Module	Source	Stage	Year	Estimate_CS_minus_PN	SE	df	t_ratio	P_value	FDR_within_source
"M7"	"Legacy_mapped"	"Veraison"	"2012"	-2.16520910815809	1.49124170387929	36	-1.45195048027798	0.155175525813553	0.297144623898293
"M7"	"Legacy_mapped"	"Harvest"	"2012"	-5.5410289084558	1.49124170387929	36	-3.71571482613548	0.000684895739295134	0.00228298579765045
"M7"	"Legacy_mapped"	"FruitSet"	"2013"	0.183896545155777	1.49124170387929	36	0.123317732247825	0.902541426258906	0.990594248332946
"M7"	"Legacy_mapped"	"Veraison"	"2013"	-7.01075807910824	1.49124170387929	36	-4.70128890633261	3.72922009987182e-05	0.000172274768894909
"M7"	"Legacy_mapped"	"Harvest"	"2013"	-1.40703689566745	1.49124170387929	36	-0.943533762506246	0.351697484362248	0.575504974410952
"M7"	"Legacy_mapped"	"FruitSet"	"2014"	-0.227348537410535	1.49124170387929	36	-0.152455860655664	0.879678670425201	0.986210275065862
"M7"	"Legacy_mapped"	"Veraison"	"2014"	-1.26884898953922	1.49124170387929	36	-0.85086742560811	0.400467215333739	0.617622361752544
"M7"	"Legacy_mapped"	"Harvest"	"2014"	-0.0355042980056471	1.49124170387929	36	-0.0238085468729092	0.981136805752405	0.998848472178655
"M7"	"Modern"	"FruitSet"	"2012"	-0.366064809837383	1.48750121085711	36	-0.246093789480987	0.807007394082074	0.939340446917075
"M7"	"Modern"	"Veraison"	"2012"	-1.96702707447915	1.48750121085711	36	-1.32237006606921	0.194385185816795	0.336435898529068
"M7"	"Modern"	"Harvest"	"2012"	-6.73303677031356	1.48750121085711	36	-4.52640758956689	6.32312149448322e-05	0.000270990921192138
"M7"	"Modern"	"FruitSet"	"2013"	0.218196554377645	1.48750121085711	36	0.146686639839384	0.884197747613855	0.982441941793173
"M7"	"Modern"	"Veraison"	"2013"	-6.75695300481523	1.48750121085711	36	-4.54248571732041	6.02444483512529e-05	0.000270990921192138
"M7"	"Modern"	"Harvest"	"2013"	-1.78137657244027	1.48750121085711	36	-1.19756310747056	0.238913046955444	0.383967396892678
"M7"	"Modern"	"FruitSet"	"2014"	-0.0507155420113818	1.48750121085711	36	-0.0340944542708366	0.972990173820253	0.99314304247823
"M7"	"Modern"	"Veraison"	"2014"	-1.39949027471744	1.48750121085711	36	-0.940833032270976	0.353061096060803	0.504372994372576
"M7"	"Modern"	"Harvest"	"2014"	-0.747908149369372	1.48750121085711	36	-0.50279498524806	0.618170656537776	0.794790844119997
"M8"	"Legacy_mapped"	"FruitSet"	"2012"	-0.0353346550262098	0.584641374118937	36	-0.0604381704587015	0.952140940513178	0.998848472178655
"M8"	"Legacy_mapped"	"Veraison"	"2012"	-0.883662168421276	0.584641374118937	36	-1.51146020028598	0.139400487527019	0.272740084291995
"M8"	"Legacy_mapped"	"Harvest"	"2012"	-0.175002304518237	0.584641374118937	36	-0.299332740146844	0.766407550896788	0.962930676694418
"M8"	"Legacy_mapped"	"FruitSet"	"2013"	-0.125014097375802	0.584641374118937	36	-0.213830397419615	0.831885808182725	0.96807120911175
"M8"	"Legacy_mapped"	"Veraison"	"2013"	-1.60696387189801	0.584641374118937	36	-2.74863179897202	0.00929571954830863	0.026144211229618
"M8"	"Legacy_mapped"	"Harvest"	"2013"	-0.985909303230447	0.584641374118937	36	-1.68634884028902	0.100377727639115	0.200755455278229
"M8"	"Legacy_mapped"	"FruitSet"	"2014"	-0.443271532403447	0.584641374118937	36	-0.758193915152625	0.453270084657591	0.679905126986386
"M8"	"Legacy_mapped"	"Veraison"	"2014"	-0.00726281771420789	0.584641374118937	36	-0.0124226885672487	0.990156973997768	0.998848472178655
"M8"	"Legacy_mapped"	"Harvest"	"2014"	-2.90008498104067	0.584641374118937	36	-4.96045115761973	1.6952990942873e-05	8.47649547143649e-05
"M8"	"Modern"	"FruitSet"	"2012"	0.0337170578614238	0.572990690152517	36	0.0588439889877601	0.953401804972328	0.99314304247823
"M8"	"Modern"	"Veraison"	"2012"	-1.62630566264751	0.572990690152517	36	-2.83827589278042	0.00740824657653274	0.0196100644672926
"M8"	"Modern"	"Harvest"	"2012"	-1.60270990675619	0.572990690152517	36	-2.79709589405299	0.00822590238545601	0.021152320419744
"M8"	"Modern"	"FruitSet"	"2013"	0.116672564737482	0.572990690152517	36	0.203620349758957	0.839796841872424	0.956730579348332
"M8"	"Modern"	"Veraison"	"2013"	-1.33363832891992	0.572990690152517	36	-2.32750435886652	0.0256765153589198	0.0608127995342838
"M8"	"Modern"	"Harvest"	"2013"	-1.285567881684	0.572990690152517	36	-2.24361041772216	0.0311023766340918	0.0717747153094427
"M8"	"Modern"	"FruitSet"	"2014"	0.135728262640721	0.572990690152517	36	0.236876907379758	0.814095053994798	0.939340446917075
"M8"	"Modern"	"Veraison"	"2014"	-0.841245370555524	0.572990690152517	36	-1.46816586205197	0.150743068250884	0.282643252970407
"M8"	"Modern"	"Harvest"	"2014"	-3.6715487832978	0.572990690152517	36	-6.40769360898432	1.98896507267822e-07	1.05298150906494e-06
"M9"	"Legacy_mapped"	"FruitSet"	"2012"	-0.0345964835538211	3.30927006990767	36	-0.0104544152707326	0.991716456989998	0.998848472178655
"M9"	"Legacy_mapped"	"Veraison"	"2012"	-0.179178908775877	3.30927006990767	36	-0.0541445409382608	0.957119371006262	0.998848472178655
"M9"	"Legacy_mapped"	"Harvest"	"2012"	0.318445422609508	3.30927006990767	36	0.0962282968396088	0.923872961824479	0.998848472178655
"M9"	"Legacy_mapped"	"FruitSet"	"2013"	-4.21875865435892	3.30927006990767	36	-1.27483057146696	0.210536099563479	0.378964979214262
"M9"	"Legacy_mapped"	"Veraison"	"2013"	0.728411879250614	3.30927006990767	36	0.220112551669419	0.827026966366724	0.96807120911175
"M9"	"Legacy_mapped"	"Harvest"	"2013"	0.677255826557985	3.30927006990767	36	0.20465414192589	0.83899504789685	0.96807120911175
"M9"	"Legacy_mapped"	"FruitSet"	"2014"	-0.147174293992045	3.30927006990767	36	-0.0444733403085928	0.964772879351173	0.998848472178655
"M9"	"Legacy_mapped"	"Veraison"	"2014"	5.74030812615593	3.30927006990767	36	1.7346145841509	0.0913650603924974	0.186883078075563
"M9"	"Legacy_mapped"	"Harvest"	"2014"	2.90026896022105	3.30927006990767	36	0.876407455104432	0.386619379872365	0.617622361752544
"M9"	"Modern"	"FruitSet"	"2012"	-0.31489216156578	2.84220530638334	36	-0.110791490276427	0.912397071633972	0.989346222253704
