"Module"	"Gene1"	"Gene2"	"Pearson_r"	"Beta10_unsigned_adjacency"
"M10"	"VIT_13s0067g00700"	"VIT_16s0100g00400"	0.816813970896021	0.132200036097947
"M10"	"VIT_19s0015g01300"	"VIT_16s0100g00400"	0.899575413534728	0.347036992836081
"M10"	"VIT_12s0059g00490"	"VIT_16s0100g00400"	0.747099195655138	0.0541729752646856
"M10"	"VIT_02s0025g01610"	"VIT_16s0100g00400"	0.890282561187122	0.31280858606346
"M10"	"VIT_00s0274g00090"	"VIT_16s0100g00400"	0.815609791824548	0.130263970258434
"M10"	"VIT_12s0035g02080"	"VIT_16s0100g00400"	0.831749452583326	0.158462037983394
"M10"	"VIT_02s0033g01120"	"VIT_17s0000g07470"	0.638771156650278	0.0113097492408586
"M10"	"VIT_18s0001g12830"	"VIT_17s0000g07470"	0.683889631871093	0.0223800058897934
"M10"	"VIT_17s0000g00430"	"VIT_17s0000g07470"	0.622891810522832	0.00879278006445613
"M10"	"VIT_08s0040g01890"	"VIT_17s0000g07470"	0.641538326434795	0.0118093520258863
"M10"	"VIT_08s0007g08010"	"VIT_17s0000g07470"	0.392104261366508	8.59044421885108e-05
"M10"	"VIT_13s0019g02180"	"VIT_17s0000g07470"	0.713218753135507	0.0340586585368904
"M10"	"VIT_05s0049g00770"	"VIT_17s0000g07470"	0.751097690839236	0.0571431619585902
"M10"	"VIT_17s0000g05580"	"VIT_17s0000g07470"	0.705902766414396	0.0307219543060407
"M10"	"VIT_16s0098g00790"	"VIT_17s0000g07470"	0.748082710860491	0.0548903724507696
"M10"	"VIT_17s0000g01930"	"VIT_17s0000g07470"	0.731841730388691	0.0440729070844527
"M10"	"VIT_12s0142g00160"	"VIT_17s0000g07470"	0.793445942499874	0.0988947953316484
"M10"	"VIT_09s0002g06400"	"VIT_17s0000g07470"	0.720286840962805	0.0375884836719257
"M10"	"VIT_13s0067g00700"	"VIT_17s0000g07470"	0.820418913152143	0.138151828131251
"M10"	"VIT_19s0015g01300"	"VIT_17s0000g07470"	0.792684783608589	0.097950174827513
"M10"	"VIT_12s0059g00490"	"VIT_17s0000g07470"	0.80698292001383	0.117123334629498
"M10"	"VIT_02s0025g01610"	"VIT_17s0000g07470"	0.729196851179883	0.0425057659129356
"M10"	"VIT_00s0274g00090"	"VIT_17s0000g07470"	0.833550801289725	0.161927545643728
"M10"	"VIT_12s0035g02080"	"VIT_17s0000g07470"	0.690310759648341	0.0245723349408046
"M10"	"VIT_16s0100g00400"	"VIT_17s0000g07470"	0.598168334957113	0.00586454322972509
"M10"	"VIT_02s0033g01120"	"VIT_04s0023g03550"	0.791548186578793	0.0965547364448341
"M10"	"VIT_18s0001g12830"	"VIT_04s0023g03550"	0.838251579514608	0.171294652145085
"M10"	"VIT_17s0000g00430"	"VIT_04s0023g03550"	0.832291724485586	0.159498191997446
"M10"	"VIT_08s0040g01890"	"VIT_04s0023g03550"	0.785268748707517	0.0891626858053724
"M10"	"VIT_08s0007g08010"	"VIT_04s0023g03550"	0.634770918150062	0.0106211175291218
"M10"	"VIT_13s0019g02180"	"VIT_04s0023g03550"	0.641316512470059	0.0117685842771645
"M10"	"VIT_05s0049g00770"	"VIT_04s0023g03550"	0.898470192991563	0.342796783620301
"M10"	"VIT_17s0000g05580"	"VIT_04s0023g03550"	0.84804083996451	0.192383435189821
"M10"	"VIT_16s0098g00790"	"VIT_04s0023g03550"	0.871271591162857	0.252078343238252
"M10"	"VIT_17s0000g01930"	"VIT_04s0023g03550"	0.847927745835194	0.192127027907163
"M10"	"VIT_12s0142g00160"	"VIT_04s0023g03550"	0.777336285039894	0.0805544255143823
"M10"	"VIT_09s0002g06400"	"VIT_04s0023g03550"	0.550328070982231	0.00254810111264706
"M10"	"VIT_13s0067g00700"	"VIT_04s0023g03550"	0.812578835975084	0.125503277410281
"M10"	"VIT_19s0015g01300"	"VIT_04s0023g03550"	0.912504789603538	0.400268604259915
"M10"	"VIT_12s0059g00490"	"VIT_04s0023g03550"	0.82485950663417	0.145814207156307
"M10"	"VIT_02s0025g01610"	"VIT_04s0023g03550"	0.860347903468786	0.222198461395789
"M10"	"VIT_00s0274g00090"	"VIT_04s0023g03550"	0.816099810172684	0.131048715468999
"M10"	"VIT_12s0035g02080"	"VIT_04s0023g03550"	0.857238081156234	0.214296241928252
"M10"	"VIT_16s0100g00400"	"VIT_04s0023g03550"	0.836932368077226	0.168617887400672
"M10"	"VIT_17s0000g07470"	"VIT_04s0023g03550"	0.815875655922444	0.130689214764457
"M10"	"VIT_02s0033g01120"	"VIT_05s0102g00710"	-0.911355081820885	0.395253929234421
