"Module"	"Gene"	"Rank_kWithin"	"kWithin"	"kWithin_per_possible_edge"	"kME_signed"	"abs_kME"	"Rank_abs_kME"	"Fraction_kWithin_from_negative_correlations"	"Top_decile_kWithin"	"Beta7_module"	"In_best_matching_beta7_module"	"V3_gene"	"V5_gene"	"V3_MapMan_annotated"	"V5_MapMan_annotated"	"V3_TF_label"	"V5_TF_label"	"V3_leaf_terms"	"V5_leaf_terms"	"Veraison_CS_exact_zero_fraction"	"Veraison_PN_exact_zero_fraction"	"Veraison_CS_minus_PN_2012"	"Veraison_CS_minus_PN_2013"	"Veraison_CS_minus_PN_2014"	"Veraison_same_direction_all_years"	"Harvest_CS_exact_zero_fraction"	"Harvest_PN_exact_zero_fraction"	"Harvest_CS_minus_PN_2012"	"Harvest_CS_minus_PN_2013"	"Harvest_CS_minus_PN_2014"	"Harvest_same_direction_all_years"
"M2"	"VIT_13s0019g02660"	172	4.3700369547395	0.0205166054213122	-0.724116836854704	0.724116836854704	157	0.391578439680048	FALSE	"M2"	TRUE	"Vitvi13g02012"	"Vitvi05_01chr13g05860"	TRUE	FALSE	FALSE	FALSE	"not assigned.not annotated"	NA	0	0	4.63240914754065	4.8445744139969	4.24315890330753	TRUE	0	0	0.664534016338119	0.443172053545659	1.11015518503202	TRUE
"M2"	"VIT_13s0139g00200"	173	4.36586177181469	0.0204970036235431	-0.70184610006085	0.70184610006085	167	0.306107421859938	FALSE	"M2"	TRUE	NA	NA	FALSE	FALSE	FALSE	FALSE	NA	NA	0	0.333333333333333	1.34042901004915	0.656547296666981	2.59073628940849	TRUE	0	0.222222222222222	1.06964676003381	1.03435802050073	3.34879755998998	TRUE
"M2"	"VIT_04s0008g01580"	174	4.23922193366706	0.0199024503928031	0.705426519963065	0.705426519963065	166	0.485645369623414	FALSE	"M2"	TRUE	"Vitvi04g01802"	NA	TRUE	FALSE	FALSE	FALSE	"Protein homeostasis.protein quality control.smallHsp holdase chaperone activities.class-C-II protein"	NA	0	0	-3.29175213570666	-3.11987464858977	-2.36542292816063	TRUE	0	0	-4.09599085345067	-4.15833453491265	-3.59378310575239	TRUE
"M2"	"VIT_06s0004g05070"	175	3.89250414387662	0.0182746673421437	0.663107630322743	0.663107630322743	176	0.517705549027976	FALSE	"M2"	TRUE	"Vitvi06g00500"	NA	TRUE	FALSE	FALSE	FALSE	"Solute transport.carrier-mediated transport.ZIP family.metal cation transporter (ZIP)"	NA	0	0	-0.519418436383737	-0.696243698168412	-0.601809643052647	TRUE	0	0	-3.6443802065207	-3.42401998479608	-4.28124615212451	TRUE
"M2"	"VIT_14s0081g00100"	176	3.61820388917736	0.0169868727191425	-0.735498539762055	0.735498539762055	154	0.498153298600954	FALSE	"M2"	TRUE	"Vitvi14g02668"	NA	TRUE	FALSE	FALSE	FALSE	"not assigned.not annotated"	NA	0.111111111111111	1	2.43705894483038	3.59458282693167	3.25531827803368	TRUE	0.111111111111111	1	3.48582522402565	1.64689446961207	2.74622058766063	TRUE
"M2"	"VIT_14s0030g01150"	177	3.61241217925422	0.0169596815927428	-0.715821539464164	0.715821539464164	163	0.349466285960488	FALSE	"M2"	TRUE	"Vitvi14g02630"	NA	TRUE	FALSE	FALSE	FALSE	"not assigned.not annotated"	NA	0	0.111111111111111	4.45088490228773	4.05649659766543	2.09991483186073	TRUE	0	0.333333333333333	3.01870421349258	0.650844294758201	3.16543349945134	TRUE
"M2"	"VIT_07s0151g00400"	178	3.5075227147739	0.0164672427923657	-0.674466704977384	0.674466704977384	173	0.26137203892918	FALSE	"M2"	TRUE	NA	NA	FALSE	FALSE	FALSE	FALSE	NA	NA	0	0.333333333333333	1.49984628512635	1.13647521375235	2.48676555755693	TRUE	0	0	1.20434012980775	0.225642175152864	2.95560369491142	TRUE
"M2"	"VIT_18s0089g00980"	179	3.37282395033636	0.0158348542269313	0.720742128842824	0.720742128842824	159	0.362190838200225	FALSE	"M2"	TRUE	"Vitvi18g03263"	NA	TRUE	FALSE	FALSE	FALSE	"not assigned.not annotated"	NA	0.666666666666667	0.111111111111111	-5.17258432029125	-3.41845350569653	-2.16544133068116	TRUE	0.888888888888889	0.111111111111111	-3.91995056938151	-3.39033478461076	-4.68808204797022	TRUE
"M2"	"VIT_00s0276g00010"	180	3.340788847914	0.0156844546850423	-0.691628343480964	0.691628343480964	169	0.717746648425129	FALSE	"M1"	FALSE	NA	NA	FALSE	FALSE	FALSE	FALSE	NA	NA	0	0.111111111111111	1.56182430414271	2.67513008383544	1.39461979237943	TRUE	0	0	1.34317021310795	1.35515729764744	0.95041941845833	TRUE
"M2"	"VIT_14s0030g00860"	181	3.26975693787807	0.0153509715393337	-0.483991762210881	0.483991762210881	210	0.0345484497785896	FALSE	"M1"	FALSE	"Vitvi14g02610"	NA	TRUE	FALSE	FALSE	FALSE	"not assigned.not annotated"	NA	0	0.888888888888889	1.320967030714	1.32971024259293	2.75290756366293	TRUE	1	0.888888888888889	-0.0960537557236901	0	0	FALSE
