Source	Theme	Module	Matched_MapMan_terms	Background_N	Module_n	Theme_background_K	Overlap_k	Expected_overlap	Fold_enrichment	Tested	Reason_if_not_tested	p_value	Hit_genes	FDR_global_themes	Coverage_warning
v3_mapman	cell_wall	M4	87	2608	107	100	13	4.10276073619632	3.16859813084112	TRUE		0.000159896912940667	VIT_01s0026g00810;VIT_01s0026g02620;VIT_01s0137g00240;VIT_05s0020g02810;VIT_05s0051g00590;VIT_06s0004g00070;VIT_09s0002g00320;VIT_09s0070g00480;VIT_12s0035g01900;VIT_15s0046g00480;VIT_17s0000g06360;VIT_17s0000g09810;VIT_17s0053g00990	0.00639587651762667	FALSE
v3_mapman	cell_wall	M5	87	2608	93	100	1	3.5659509202454	0.280430107526882	TRUE		0.975354022747982	VIT_15s0048g00510	1	FALSE
v3_mapman	cell_wall	M6	87	2608	62	100	2	2.37730061349693	0.841290322580645	TRUE		0.696116326815946	VIT_08s0040g00780;VIT_09s0070g00240	1	FALSE
v3_mapman	cell_wall	M7	87	2608	51	100	3	1.95552147239264	1.53411764705882	TRUE		0.310778686953664	VIT_01s0026g00980;VIT_14s0066g02350;VIT_18s0001g08580	1	FALSE
v3_mapman	cell_wall	M8	87	2608	37	100	0	1.41871165644172	0	TRUE		1		1	FALSE
v3_mapman	cell_wall	M9	87	2608	41	100	0	1.57208588957055	0	TRUE		1		1	FALSE
v3_mapman	cell_wall	M10	87	2608	36	100	1	1.38036809815951	0.724444444444444	TRUE		0.757620501983427	VIT_18s0001g12830	1	FALSE
v3_mapman	pectin	M1	19	2608	1916	32	25	23.5092024539877	1.0634133611691	TRUE		0.355127756956862	VIT_01s0127g00850;VIT_01s0127g00870;VIT_02s0025g01330;VIT_04s0023g02690;VIT_05s0020g01110;VIT_06s0004g03020;VIT_07s0005g00730;VIT_07s0005g02590;VIT_07s0031g02480;VIT_08s0007g08330;VIT_09s0002g00330;VIT_09s0002g02120;VIT_10s0116g00590;VIT_11s0016g00290;VIT_11s0016g00330;VIT_13s0019g04910;VIT_14s0060g00230;VIT_14s0083g00940;VIT_15s0046g02000;VIT_15s0048g00500;VIT_16s0050g00570;VIT_16s0098g01900;VIT_18s0001g05180;VIT_18s0001g13230;VIT_18s0122g00330	1	FALSE
v3_mapman	pectin	M2	19	2608	158	32	0	1.93865030674847	0	TRUE		1		1	FALSE
v3_mapman	pectin	M3	19	2608	82	32	0	1.00613496932515	0	TRUE		1		1	FALSE
v3_mapman	pectin	M4	19	2608	107	32	6	1.31288343558282	4.57009345794393	TRUE		0.00157120392338368	VIT_01s0137g00240;VIT_05s0020g02810;VIT_05s0051g00590;VIT_09s0002g00320;VIT_12s0035g01900;VIT_17s0000g09810	0.0418987712902314	FALSE
v3_mapman	pectin	M5	19	2608	93	32	1	1.14110429447853	0.876344086021505	TRUE		0.689334267330061	VIT_15s0048g00510	1	FALSE
v3_mapman	pectin	M6	19	2608	62	32	0	0.760736196319018	0	TRUE		1		1	FALSE
v3_mapman	pectin	M7	19	2608	51	32	0	0.625766871165644	0	TRUE		1		1	FALSE
v3_mapman	pectin	M8	19	2608	37	32	0	0.45398773006135	0	TRUE		1		1	FALSE
v3_mapman	pectin	M9	19	2608	41	32	0	0.503067484662577	0	TRUE		1		1	FALSE
v3_mapman	pectin	M10	19	2608	36	32	0	0.441717791411043	0	TRUE		1		1	FALSE
