Module	Cultivar	Stage	Year	Mean	SD	N	SE
M5	Cabernet Sauvignon	Veraison	2014	-6.13922514779822	0.446647550511323	3	0.2578720835206
M5	Pinot noir	Harvest	2014	17.314579493627	1.02674721447929	3	0.592792780669319
M5	Cabernet Sauvignon	Harvest	2014	-3.57117473983923	0.353859651056121	3	0.204300964792599
M6	Pinot noir	FruitSet	2012	12.5801963031255	0.531295490513877	3	0.306743594467421
M6	Cabernet Sauvignon	FruitSet	2012	20.81357550198	0.795741168291491	3	0.45942137771836
M6	Pinot noir	Veraison	2012	-3.65262726463843	0.231961293887652	3	0.13392291546761
M6	Cabernet Sauvignon	Veraison	2012	-2.42263046649116	0.295620508084761	3	0.170676579920711
M6	Pinot noir	Harvest	2012	-5.07047062218579	0.156067652143659	3	0.0901057009769346
M6	Cabernet Sauvignon	Harvest	2012	-5.11751023888133	0.39525936303594	3	0.22820309964852
M6	Pinot noir	FruitSet	2013	0.327521143326361	0.379499792887548	3	0.219104307581033
M6	Cabernet Sauvignon	FruitSet	2013	10.7627572144878	0.386243078012786	3	0.222997545063312
M6	Pinot noir	Veraison	2013	-4.17768662411533	0.174750200528999	3	0.100892075316359
M6	Cabernet Sauvignon	Veraison	2013	-1.83646248207787	0.952049058440071	3	0.549665780172105
M6	Pinot noir	Harvest	2013	-4.18295335917631	0.404853577490399	3	0.233742321946465
M6	Cabernet Sauvignon	Harvest	2013	-4.61470933494562	0.293959508660055	3	0.169717601455733
M6	Pinot noir	FruitSet	2014	-0.094599116233651	0.807413272007378	3	0.466160269940736
M6	Cabernet Sauvignon	FruitSet	2014	-0.324895911545934	0.458628264817762	3	0.264789152150506
M6	Pinot noir	Veraison	2014	-3.55635901713104	0.39243241025806	3	0.226570957701225
M6	Cabernet Sauvignon	Veraison	2014	-0.335814440657541	0.907530840348684	3	0.5239631749732
M6	Pinot noir	Harvest	2014	-4.14218854356187	0.0312711948818285	3	0.0180544327829049
M6	Cabernet Sauvignon	Harvest	2014	-4.95514274127776	0.27273784750283	3	0.157465269673958
M7	Pinot noir	FruitSet	2012	-4.32989924264253	4.14287563651349	3	2.39189036396021
M7	Cabernet Sauvignon	FruitSet	2012	-4.97033252022683	4.11429598363153	3	2.37538989367546
M7	Pinot noir	Veraison	2012	2.45273803524111	1.30104103546488	3	0.751156392052396
M7	Cabernet Sauvignon	Veraison	2012	-0.114020384318151	1.17224912920228	3	0.676798350302244
M7	Pinot noir	Harvest	2012	-1.3424568868114	1.06319675208091	3	0.613836931015449
M7	Cabernet Sauvignon	Harvest	2012	-7.40989918376529	1.50467687692991	3	0.868725599938889
M7	Pinot noir	FruitSet	2013	3.59748453711333	4.77780029781675	3	2.75846428807878
