Module	Stage	Year	contrast	estimate	SE	df	t.ratio	p.value	CI_low_unadjusted	CI_high_unadjusted	FDR_global_90	FDR_within_stage_year_10	FDR_within_module_9
M4	Veraison	2014	Cabernet Sauvignon - Pinot noir	1.32715813021048	0.90824109339975	36	1.46123990629253	0.152623817363294	-0.514840182757482	3.16915644317843	0.288174946617646	0.218034024804706	0.228935726044941
M4	Harvest	2014	Cabernet Sauvignon - Pinot noir	2.46879513810737	0.90824109339975	36	2.71821563244415	0.0100317596687208	0.626796825139407	4.31079345107532	0.0273593445510567	0.0200635193374415	0.090285837018487
M5	FruitSet	2012	Cabernet Sauvignon - Pinot noir	-0.203117825883305	1.47186744251416	36	-0.138000080724899	0.891009364631389	-3.18820335628471	2.7819677045181	0.977937107522256	0.990010405145988	0.989629921095773
M5	Veraison	2012	Cabernet Sauvignon - Pinot noir	-4.82770941418808	1.47186744251416	36	-3.27998926720036	0.00230902568196476	-7.81279494458948	-1.84262388378667	0.00716594177161479	0.00577256420491191	0.00519530778442072
M5	Harvest	2012	Cabernet Sauvignon - Pinot noir	-25.0291600186621	1.47186744251416	36	-17.0050367959147	8.71496427451425e-19	-28.0142455490635	-22.0440744882607	6.53622320588569e-18	4.35748213725713e-18	7.84346784706283e-18
M5	FruitSet	2013	Cabernet Sauvignon - Pinot noir	1.88016798634225	1.47186744251416	36	1.27740306771828	0.209636978093612	-1.10491754405915	4.86525351674366	0.362833231315866	0.262046222617015	0.377346560568501
M5	Veraison	2013	Cabernet Sauvignon - Pinot noir	-0.952070397119813	1.47186744251416	36	-0.646845204683338	0.521835318521939	-3.93715592752122	2.03301513328159	0.71159361616628	0.579817020579932	0.670931123813922
M5	Harvest	2013	Cabernet Sauvignon - Pinot noir	-20.9232176727352	1.47186744251416	36	-14.2154225770463	2.43696716808959e-16	-23.9083032031366	-17.9381321423338	1.65520113143988e-15	8.12322389363198e-16	7.72427194671946e-16
M5	FruitSet	2014	Cabernet Sauvignon - Pinot noir	0.0192636681222754	1.47186744251416	36	0.0130879096621434	0.989629921095773	-2.96582186227913	3.00434919852368	0.992916053047995	0.989629921095773	0.989629921095773
M5	Veraison	2014	Cabernet Sauvignon - Pinot noir	-1.59424796427643	1.47186744251416	36	-1.08314642897001	0.285944998313841	-4.57933349467784	1.39083756612497	0.459554461575815	0.357431247892301	0.428917497470761
M5	Harvest	2014	Cabernet Sauvignon - Pinot noir	-20.8857542334662	1.47186744251416	36	-14.1899695789115	2.57475731557315e-16	-23.8708397638676	-17.9006687030648	1.65520113143988e-15	1.28737865778658e-15	7.72427194671946e-16
M6	FruitSet	2012	Cabernet Sauvignon - Pinot noir	8.23337919885445	0.414235408614136	36	19.8760874315404	5.37603142329232e-21	7.39327085165043	9.07348754605846	4.3985711645119e-20	2.68801571164616e-20	2.41921414048155e-20
M6	Veraison	2012	Cabernet Sauvignon - Pinot noir	1.22999679814728	0.414235408614136	36	2.96931834548463	0.00528399122988711	0.389888450943263	2.07010514535129	0.0148612253340575	0.0105679824597742	0.00951118421379679
