GeneID	GSM2627691	GSM2627692	GSM2627693	GSM2627709	GSM2627711	GSM2627713	GSM2627739	GSM2627740	GSM2627741	GSM2627742	GSM2627743	GSM2627744	GSM2627754	GSM2627755	GSM2627756	GSM2627781	GSM2627782	GSM2627783	GSM2627784	GSM2627785	GSM2627786	GSM2627793	GSM2627794	GSM2627795	GSM2627820	GSM2627821	GSM2627822	GSM2627823	GSM2627824	GSM2627825	GSM2627835	GSM2627836	GSM2627837	GSM2627850	GSM2627851	GSM2627852	GSM2627853	GSM2627854	GSM2627855	GSM2627862	GSM2627863	GSM2627864	GSM2627883	GSM2627884	GSM2627885	GSM2627886	GSM2627887	GSM2627888	GSM2627895	GSM2627896	GSM2627897	GSM2627919	GSM2627920	GSM2627921
VIT_03s0097g00130	0	0.0755746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0385574	0.0143657	0	0	0	0	0	0	0.0271639	0.0359656	0	0	0	0	0	0	0	0.07692	0.0241822	0.0231004	0	0	0	0	0	0	0	0.0341957	0	0	0	0	0	0	0
VIT_03s0097g00140	1.12831	1.42634	1.86649	0.827619	0.55056	0.884006	2.60295	1.85106	1.78282	1.56391	2.16663	2.26012	1.42631	1.07682	0.717996	0.958183	1.28304	1.53243	0	0	0	1.09674	0.963727	0.837946	0.925471	1.09921	0.572977	0	0	0.0785258	0	0.0673746	0	0.141428	0	0.0566239	0.0685735	0	0	0.134902	0	0.0237895	0.165972	0	0	0	0	0.093402	0	0	0	0	0	0
VIT_03s0097g00160	0	0	0	2.4245	3.27016	0	5.31877	3.68651	23.7903	1.893	3.77027	1.72888	3.57709	7.76759	2.28741	13.4116	15.3687	16.6215	5.46485	9.54802	6.32526	6.29485	4.34317	7.85967	13.64	14.1756	19.6177	17.1478	25.4057	11.776	4.78684	9.09418	1.83197	10.5123	23.8659	16.3597	12.5394	13.5553	13.3957	5.8718	5.50326	5.4295	18.5326	8.43506	21.9149	12.828	28.424	7.85829	8.80793	4.87827	7.48649	4.92968	12.8817	10.2113
VIT_03s0097g00210	0	0	1011.5	0	188.072	169.62	0	0	0	0	0	189.476	187.362	128.117	0	0	0	0	0	0	98.5686	0	0	0	0	0	0	0	557.287	260.93	0	100.548	0	0	0	0	0	179.655	171.258	186.283	0	0	0	0	0	0	0	135.877	0	161.936	0	146.223	0	0
VIT_03s0097g00220	0	0	0.305988	0	0	0	0	0	0	0	0	0.100048	0	0	0	0	0	0.154261	0.0759255	0.0490856	0	0.0790845	0.0775962	0	0.18921	0	0	0	0	0	0	0	0	0	0	0.172757	0	0	0	0	0	0	0.117844	0	0	0	0	0	0	0	0	0	0	0
VIT_03s0097g00230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VIT_03s0097g00240	14.227	16.2683	12.3008	21.595	20.3909	20.741	32.1758	14.4608	36.0623	22.0672	23.0503	23.1712	16.251	14.2815	18.9526	21.4967	21.6272	26.742	1.63324	2.71184	2.0046	17.572	17.5792	18.2766	18.9761	20.2021	22.4089	2.12547	2.13224	1.71476	4.80005	3.03804	3.79352	4.59214	3.66182	3.95225	2.82011	2.59944	3.48119	5.8809	4.84875	4.0054	7.38957	7.73218	8.04359	2.11675	2.51141	2.84198	3.87081	3.21	3.22596	3.44279	4.2863	3.58433
VIT_03s0097g00250	0.367028	0.15204	0.161944	0	0	0	0	0	0	0.304564	0.575876	0	0	0	0	0	0	0	0.182079	0	0	0	0	0	0	0	0	0.407776	0.211356	0.0419498	0	0	0	0	0	0	0	0.454171	0	0	0.171137	0.170446	0	0	0	0.3449	0.339255	0.188647	0	0	0	0	0	0
VIT_03s0097g00280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.157046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VIT_03s0097g00290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
