Module	TermID	Background_N_T005	Module_n_T005	Term_background_K_T005	Overlap_k_T005	Tested_T005	p_value_T005	FDR_global_module_terms_T005	Background_N_ontology_checked	Module_n_ontology_checked	Term_background_K_ontology_checked	Overlap_k_ontology_checked	Tested_ontology_checked	p_value_ontology_checked	FDR_global_module_terms_ontology_checked	Change	Global_FDR05_T005	Global_FDR05_ontology_checked	Significance_changed
M1	GO:0003777	519	418	2	2	FALSE	NA	NA	519	418	2	2	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0003779	519	418	2	1	FALSE	NA	NA	519	418	2	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0003785	519	418	1	0	FALSE	NA	NA	519	418	1	0	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0003824	519	418	297	244	TRUE	0.167688158567421	1	519	418	297	244	TRUE	0.167688158567421	1	same_counts	FALSE	FALSE	FALSE
M1	GO:0003838	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0003924	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0003933	519	418	1	0	FALSE	NA	NA	519	418	1	0	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0003935	519	418	1	0	FALSE	NA	NA	519	418	1	0	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0003954	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0003959	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0003973	519	418	2	2	FALSE	NA	NA	519	418	2	2	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0003993	519	418	3	2	FALSE	NA	NA	519	418	3	2	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0004021	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0004022	519	418	1	0	FALSE	NA	NA	519	418	1	0	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0004028	519	418	2	2	FALSE	NA	NA	519	418	2	2	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0004029	519	418	3	2	FALSE	NA	NA	519	418	3	2	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0004030	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0004033	519	418	3	3	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	removed_or_normalized_ID	FALSE	FALSE	FALSE
M1	GO:0004040	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0004066	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0004106	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0004130	519	418	2	2	FALSE	NA	NA	519	418	2	2	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0004144	519	418	2	2	FALSE	NA	NA	519	418	2	2	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0004175	519	418	10	6	TRUE	0.971967961334278	1	519	418	10	6	TRUE	0.971967961334278	1	same_counts	FALSE	FALSE	FALSE
M1	GO:0004180	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0004185	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0004190	519	418	3	2	FALSE	NA	NA	519	418	3	2	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
