TermID	TermName	OfficialID	OfficialName	Namespace	Official_is_obsolete	Grapedia_label_says_obsolete	Status	Association_pairs
GO:0015813	GO_BP:L-glutamate transmembrane transport	GO:0015813	L-glutamate transmembrane transport	biological_process	FALSE	FALSE	live_primary_id	2
GO:0015822	GO_BP:ornithine transport	GO:0015822	ornithine transport	biological_process	FALSE	FALSE	live_primary_id	1
GO:0015824	GO_BP:proline transport	GO:0015824	proline transport	biological_process	FALSE	FALSE	live_primary_id	1
GO:0015825	GO_BP:L-serine transport	GO:0015825	L-serine transport	biological_process	FALSE	FALSE	live_primary_id	1
GO:0015827	GO_BP:tryptophan transport	GO:0015827	tryptophan transport	biological_process	FALSE	FALSE	live_primary_id	1
GO:0015833	GO_BP:peptide transport	GO:0015833	peptide transport	biological_process	FALSE	FALSE	live_primary_id	8
GO:0015840	GO_BP:urea transport	GO:0015840	urea transport	biological_process	FALSE	FALSE	live_primary_id	2
GO:0015849	GO_BP:organic acid transport	GO:0015849	organic acid transport	biological_process	FALSE	FALSE	live_primary_id	15
GO:0015850	GO_BP:organic hydroxy compound transport	GO:0015850	organic hydroxy compound transport	biological_process	FALSE	FALSE	live_primary_id	2
GO:0015851	GO_BP:nucleobase transport	GO:0015851	nucleobase transport	biological_process	FALSE	FALSE	live_primary_id	2
GO:0015853	GO_BP:adenine transport	GO:0015853	adenine transport	biological_process	FALSE	FALSE	live_primary_id	1
GO:0015854	GO_BP:guanine transport	GO:0015854	guanine transport	biological_process	FALSE	FALSE	live_primary_id	1
GO:0015855	GO_BP:pyrimidine nucleobase transport	GO:0015855	pyrimidine nucleobase transport	biological_process	FALSE	FALSE	live_primary_id	1
GO:0015857	GO_BP:uracil transport	GO:0015857	uracil transport	biological_process	FALSE	FALSE	live_primary_id	1
GO:0015865	GO_BP:purine nucleotide transport	GO:0015865	purine nucleotide transport	biological_process	FALSE	FALSE	live_primary_id	1
GO:0015866	GO_BP:ADP transport	GO:0015866	ADP transport	biological_process	FALSE	FALSE	live_primary_id	1
GO:0015867	GO_BP:ATP transport	GO:0015867	ATP transport	biological_process	FALSE	FALSE	live_primary_id	1
GO:0015868	GO_BP:purine ribonucleotide transport	GO:0015868	purine ribonucleotide transport	biological_process	FALSE	FALSE	live_primary_id	1
GO:0015871	GO_BP:choline transport	GO:0015871	choline transport	biological_process	FALSE	FALSE	live_primary_id	1
GO:0015923	GO_MF:mannosidase activity	GO:0015923	mannosidase activity	molecular_function	FALSE	FALSE	live_primary_id	3
GO:0015925	GO_MF:galactosidase activity	GO:0015925	galactosidase activity	molecular_function	FALSE	FALSE	live_primary_id	3
