SampleName	Module	Cultivar	Stage	Year	Canonical_eigengene	Hub_core_PC1
GSM2627781	M4	Cabernet Sauvignon	Harvest	2013	-10.1438805177044	-4.905823583726269
GSM2627782	M4	Cabernet Sauvignon	Harvest	2013	-11.7182622505917	-5.258851670322946
GSM2627783	M4	Cabernet Sauvignon	Harvest	2013	-12.2882259878167	-5.335719327145224
GSM2627784	M4	Cabernet Sauvignon	FruitSet	2014	-2.03465539333039	0.6414283892679911
GSM2627785	M4	Cabernet Sauvignon	FruitSet	2014	-1.5850682516102	1.0063382076960257
GSM2627786	M4	Cabernet Sauvignon	FruitSet	2014	-1.29058390074484	1.0945005679382969
GSM2627793	M4	Cabernet Sauvignon	Veraison	2014	9.99152710810689	3.721698190118483
GSM2627794	M4	Cabernet Sauvignon	Veraison	2014	10.7973300913248	4.062172837417597
GSM2627795	M4	Cabernet Sauvignon	Veraison	2014	11.3799304056875	4.425985848034669
GSM2627820	M4	Cabernet Sauvignon	Harvest	2014	-6.20091729929615	-3.112030923913895
GSM2627821	M4	Cabernet Sauvignon	Harvest	2014	-6.54278377237984	-3.30320741302683
GSM2627822	M4	Cabernet Sauvignon	Harvest	2014	-8.28328199651206	-3.96487228745732
GSM2627823	M4	Pinot noir	FruitSet	2012	-7.51956914162177	-1.0592325075784292
GSM2627824	M4	Pinot noir	FruitSet	2012	-3.98439545087868	-0.13208633423240815
GSM2627825	M4	Pinot noir	FruitSet	2012	-7.42744612903079	-1.1739601152101136
GSM2627835	M4	Pinot noir	Veraison	2012	12.7036979405699	3.491046094957069
GSM2627836	M4	Pinot noir	Veraison	2012	12.2476576565536	3.4560159511057376
GSM2627837	M4	Pinot noir	Veraison	2012	10.7794674272468	2.8238279543524434
GSM2627850	M4	Pinot noir	Harvest	2012	-6.21134603618652	-3.6948199558264982
GSM2627851	M4	Pinot noir	Harvest	2012	-7.06465830816009	-3.651816525245188
GSM2627852	M4	Pinot noir	Harvest	2012	-9.45277252720528	-4.633210076323011
GSM2627853	M4	Pinot noir	FruitSet	2013	-0.707385787224207	0.7629617725260301
GSM2627854	M4	Pinot noir	FruitSet	2013	-1.55631952714128	0.5427862822074906
GSM2627855	M4	Pinot noir	FruitSet	2013	-1.65174223711376	0.4733343450537443
GSM2627862	M4	Pinot noir	Veraison	2013	11.825327090996	3.709122451041495
GSM2627863	M4	Pinot noir	Veraison	2013	12.2657714681618	3.582616351743437
GSM2627864	M4	Pinot noir	Veraison	2013	11.7509773550108	3.6668065648265538
GSM2627883	M4	Pinot noir	Harvest	2013	-11.853520924718	-4.864314839410201
GSM2627884	M4	Pinot noir	Harvest	2013	-10.1251151642637	-4.765103285916761
GSM2627885	M4	Pinot noir	Harvest	2013	-12.6242154610965	-4.90431198721493
