Module	Cultivar	Stage	Year	N	Canonical_Mean	Canonical_SD	Canonical_SE	HubCore_Mean	HubCore_SD	HubCore_SE
M6	Pinot noir	FruitSet	2013	3	0.32752114332636106	0.37949979288754776	0.21910430758103294	0.6296896190461388	0.14420694938464862	0.08325792104624162
M6	Pinot noir	FruitSet	2014	3	-0.09459911623365098	0.8074132720073779	0.46616026994073617	0.37621052554424755	0.20986098579540238	0.1211632966413758
M6	Pinot noir	Veraison	2012	3	-3.6526272646384297	0.23196129388765152	0.1339229154676095	-1.5792908303574846	0.10187525334523541	0.05881770494263299
M6	Pinot noir	Veraison	2013	3	-4.177686624115333	0.17475020052899898	0.10089207531635865	-1.6481321951913834	0.1223563708162277	0.07064248362781474
M6	Pinot noir	Veraison	2014	3	-3.55635901713104	0.39243241025806014	0.22657095770122468	-1.2219569498063965	0.23067113448237378	0.13317804158767488
M6	Pinot noir	Harvest	2012	3	-5.07047062218579	0.1560676521436593	0.09010570097693459	-1.7608326441987956	0.06832859767924077	0.0394495342634593
M6	Pinot noir	Harvest	2013	3	-4.1829533591763095	0.4048535774903992	0.233742321946465	-1.715929268594582	0.03960912088082177	0.022868336602906877
M6	Pinot noir	Harvest	2014	3	-4.142188543561873	0.031271194881828515	0.01805443278290494	-1.7289619335614688	0.021546748726766877	0.012440021177560084
M7	Cabernet Sauvignon	FruitSet	2012	3	-4.970332520226825	4.114295983631526	2.375389893675458	-1.572365480200051	1.8980960518962604	1.0958662665100718
M7	Cabernet Sauvignon	FruitSet	2013	3	3.5156872539072985	3.422522198312271	1.9759941125030593	1.4272464705170862	1.4417865255506745	0.8324158386406573
M7	Cabernet Sauvignon	FruitSet	2014	3	12.305132430434265	0.237832006399827	0.13731237291684892	4.727811506422367	0.06953177895247036	0.04014419129544232
M7	Cabernet Sauvignon	Veraison	2012	3	-0.11402038431815131	1.1722491292022847	0.6767983503022436	-0.400666132821756	0.4384259829794444	0.2531253592929085
M7	Cabernet Sauvignon	Veraison	2013	3	-2.66077143193916	1.9443419032900449	1.1225663212611767	-1.2806541118307002	0.8782198930088803	0.5070404916363613
M7	Cabernet Sauvignon	Veraison	2014	3	1.9619486210579815	1.767928074706558	1.020713749839728	0.7726304165364274	0.5363471444469717	0.30966016822554626
M7	Cabernet Sauvignon	Harvest	2012	3	-7.40989918376529	1.5046768769299097	0.8687255999388888	-2.6703199504121677	0.10554707081136501	0.060937629745118085
M7	Cabernet Sauvignon	Harvest	2013	3	-8.47177284011527	0.10746661297028319	0.062045877927290334	-2.462660371237627	0.12487331162748823	0.07209564008273035
M7	Cabernet Sauvignon	Harvest	2014	3	-4.9143541917126194	0.12686989566532517	0.07324836841443523	-2.005628330087702	0.08247285569646956	0.04761572543719386
M7	Pinot noir	FruitSet	2012	3	-4.329899242642534	4.142875636513489	2.391890363960205	-1.2578830874069693	1.6254454091380215	0.9384513445188781
M7	Pinot noir	FruitSet	2013	3	3.5974845371133317	4.7778002978167535	2.758464288078777	1.677566008244393	1.7513712870186513	1.0111546840111998
M7	Pinot noir	FruitSet	2014	3	12.688095548906702	0.7429517355142891	0.42894338449407443	4.883500402560387	0.19798176792722533	0.11430482700742156
M7	Pinot noir	Veraison	2012	3	2.45273803524111	1.3010410354648771	0.7511563920523963	0.8228941460705407	0.46377042428023174	0.26775797930037876
M7	Pinot noir	Veraison	2013	3	6.08840205423384	1.267171025925971	0.7316015329276536	2.163371648990888	0.5688124417702562	0.3284040163744658
M7	Pinot noir	Veraison	2014	3	3.6935055600866797	0.44065524836365855	0.25441242626257965	1.1547020465692572	0.08284102531769998	0.047828288267118685
M7	Pinot noir	Harvest	2012	3	-1.342456886811399	1.0631967520809098	0.6138369310154491	-1.3248960189733987	0.6515393224085866	0.3761664031802239
M7	Pinot noir	Harvest	2013	3	-7.075958211514447	0.18548784654931777	0.10709145813665262	-2.441705545822916	0.21143996894946196	0.12207492299041799
M7	Pinot noir	Harvest	2014	3	-5.013529147935516	1.1601015090661722	0.6697849185466456	-2.212943617118062	0.1888572713151366	0.10903679643221231
M8	Cabernet Sauvignon	FruitSet	2012	3	16.355658733927367	2.8112866686276754	1.6230971149013946	6.375652283665663	2.3331421456444867	1.3470402458455055
M8	Cabernet Sauvignon	FruitSet	2013	3	-3.2862014689017633	0.6655193820962486	0.38423779440418254	-1.1499847905415619	0.4126550443139087	0.23824650091709215
M8	Cabernet Sauvignon	FruitSet	2014	3	-3.59226521785584	0.7256944467302757	0.4189798841691412	-1.0333143864485066	0.2625307635746584	0.151572207020387
M8	Cabernet Sauvignon	Veraison	2012	3	-1.5652572237287166	1.977294427664238	1.1415914700790948	0.09071689691915308	1.1184754934936083	0.6457521272505343
M8	Cabernet Sauvignon	Veraison	2013	3	-5.135384489378083	0.17442922083023996	0.10070675760087572	-1.5774707016862226	0.21194466524230698	0.12236630953095107
M8	Cabernet Sauvignon	Veraison	2014	3	-4.36700589271149	0.47787561251000943	0.27590161352181125	-0.9480141321654573	0.13744570616099203	0.07935431545100695
