SampleName	M1	M10	M2	M3	M4	M5	M6	M7	M8	M9
GSM2627850	-45.4742480975716	3.80264252591537	8.91548706222656	7.19803960049187	-6.21134603618652	22.3643273061345	-5.18617802145239	-0.756219269657253	-1.80527520260914	-2.34811118252266
GSM2627851	-46.0033642283849	3.60692554935411	9.11972514524934	6.99232408825358	-7.06465830816009	23.659599473007	-4.89296760010621	-0.701428262800625	-0.975038439916743	-3.12149382666899
GSM2627852	-49.8322593255944	2.8015140034359	8.52953996196751	6.75886653815828	-9.45277252720528	21.7784370822934	-5.13226624499877	-2.56972312797632	-0.270247157248438	-2.49227859987245
GSM2627853	39.3600024550205	-5.97547693760233	12.0241790040974	6.19443478656977	-0.707385787224207	-4.06368250394309	0.639401458049554	8.83458176401195	-1.12041445087524	11.5680278669913
GSM2627854	36.4310082575211	-5.8094159129505	11.229657366168	5.97398208553877	-1.55631952714128	-4.61359340609963	0.438166984786558	2.48126250694276	-1.13360173469973	23.2001022830329
GSM2627855	38.4171867995593	-6.75015531697281	12.1312204602427	5.56970763561919	-1.65174223711376	-3.89986936066777	-0.0950050128570289	-0.523390659614714	-0.528472408190473	-2.54584546985969
GSM2627862	2.44351117525968	7.87046572389937	11.1647522614061	6.60502557367289	11.825327090996	-5.20569291575624	-4.37816635443611	4.63538473794236	-2.63744960282755	-3.12238841646538
GSM2627863	-0.352635629856875	8.74887456353851	10.4863201705243	7.07681295722255	12.2657714681618	-4.0358497559624	-4.05760889407974	6.66565282192113	1.24344638958423	-3.21746211072012
GSM2627864	2.64207006026894	7.53604476280542	11.3760822756274	7.47931487041773	11.7509773550108	-3.98125708159714	-4.09728462383015	6.96416860283803	-1.50529925567688	-3.64473581184541
GSM2627883	-52.8116338317292	0.687412490525778	7.57928973668489	6.77184030367125	-11.853520924718	18.6406967132022	-4.20212615145141	-7.02552152722754	0.936074285531272	-0.0609741255678685
GSM2627884	-50.3593233792708	1.72592683405591	7.98238237979767	7.14313938608442	-10.1251151642637	20.3494568586327	-4.57787990749673	-7.28144814564097	0.209169325086879	0.0728831351426536
GSM2627885	-53.9058398523982	0.591517077053733	7.34544056328348	7.395347127081	-12.6242154610965	21.0190766996542	-3.76885401858079	-6.92090496167483	0.182044212013016	-2.42445226860561
GSM2627886	40.47681361227	-7.55936337288313	12.2653507007201	-12.3866262518693	-2.28311423323829	-6.44579370430383	-0.697794619343909	11.9946380458462	-1.13782847689317	0.769507027231886
GSM2627887	44.2274184184467	-6.35061958018538	12.8351703667133	-11.9373421794333	-0.768109562070902	-5.76671530561685	0.822654854801418	13.4722197735394	-4.24779171884337	2.33948890624311
GSM2627888	40.1354837154083	-6.84584778514718	10.7272743020215	-12.1080195513923	-1.35782822681528	-6.16450270533301	-0.408657584158462	12.5974288273345	-1.77928367809807	-0.124482440231167
GSM2627895	17.2210143560357	4.28526626802064	11.814436219697	-10.5137813992959	8.80207216814214	-4.52742581001281	-3.21707822364915	3.78108085783312	-5.28563247835219	-2.91043532631708
GSM2627896	10.618538270292	5.8990474584154	11.3515988515095	-10.1720598730733	9.67346181776576	-4.45665668962371	-3.46586559446037	3.21563845612614	-4.54379568422026	6.16869633597348
GSM2627897	11.0659452527937	5.84902102921449	12.0427701971169	-10.4530293860955	9.71177922857986	-4.65084905092883	-3.9861332332836	4.08379736630078	-4.9121829011791	0.320818414625031
GSM2627919	-45.6246276244625	2.40018221221553	9.0039472244917	-10.4767213897129	-8.77658740993501	16.2273136419211	-4.11264586992194	-5.09165248597151	1.97028249834439	-3.13135812551661
GSM2627920	-48.1560114394147	1.64409910092342	9.00534950459899	-9.9598406025807	-10.5780828466217	18.2676016819511	-4.13897904461176	-6.13259444491831	1.02880754189187	-3.22158194332701
GSM2627921	-46.1246903223802	2.65061913179682	9.17219999839153	-10.2339605364583	-9.07869822595344	17.4488231570088	-4.17494071615192	-3.81634051291673	1.01076566471551	-1.9999499977971
